Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
attack-pattern,attack-pattern--737ba988-5a60-43e1-b710-b07f7f1cae3d,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,80.9090909090909
attack-pattern,attack-pattern--3c48d49c-29a8-44b6-bed6-2c8c3a326dfd,attack-pattern--737ba988-5a60-43e1-b710-b07f7f1cae3d,77.58620689655173
attack-pattern,attack-pattern--35ca7caf-bc9b-40ec-8e5f-380a0574163e,attack-pattern--599f7d68-84fb-4f15-9e8e-f85d6da34fdd,75.0
attack-pattern,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,attack-pattern--9f2dca65-739a-4bae-b513-e0640c158982,56.666666666666664
attack-pattern,attack-pattern--5ed6a9ac-e1f7-45e8-bb7d-f889348d8599,attack-pattern--ca11c0bf-53ca-436b-9004-164f7a96f86a,71.11111111111111
attack-pattern,attack-pattern--bf856889-6cf4-4816-aeaa-40d00441638f,attack-pattern--f6a46019-653a-42f3-a080-7efe6c94aaf7,75.92592592592592
attack-pattern,attack-pattern--45ba4683-2836-4d78-af1d-5ec3ff4ceea8,attack-pattern--1c4c3101-4ecd-4b44-8b14-6f64d205ac4f,77.19298245614034
attack-pattern,attack-pattern--b1001fb4-5cd7-41e7-8fdf-dae65622e72e,attack-pattern--063585ea-e1a6-45b2-b4ff-498746ebb860,83.11688311688312
attack-pattern,attack-pattern--a41cefc3-03d7-4815-be0b-87ae8b89d341,attack-pattern--c66768b9-aa5c-4b74-8da6-325ac60e0972,78.33333333333333
attack-pattern,attack-pattern--e2949263-f2c4-4b36-9838-5c67d7e6bced,attack-pattern--1c047d33-36ea-4e9c-b1e2-1efb9efa8c98,56.666666666666664
attack-pattern,attack-pattern--baeaf01d-8da1-492c-9eb0-7b1674251125,attack-pattern--41ff7f6c-ba9e-4deb-b7fe-297a918f1c7b,65.78947368421052
attack-pattern,attack-pattern--cb254de4-c831-496f-9ac8-a0fca31fff98,attack-pattern--0533102d-621e-41f8-936f-cc2ddd48a362,55.172413793103445
attack-pattern,attack-pattern--bc9df8d6-309d-4a87-b0c5-bdd1ac4fe55f,attack-pattern--9ce69f85-f59a-4070-9001-26a2ce968cdd,76.9230769230769
attack-pattern,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,attack-pattern--737ba988-5a60-43e1-b710-b07f7f1cae3d,80.9090909090909
attack-pattern,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,attack-pattern--599f7d68-84fb-4f15-9e8e-f85d6da34fdd,100.0
attack-pattern,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,attack-pattern--9f2dca65-739a-4bae-b513-e0640c158982,30.0
attack-pattern,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,attack-pattern--ca11c0bf-53ca-436b-9004-164f7a96f86a,87.33333333333333
attack-pattern,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,attack-pattern--f6a46019-653a-42f3-a080-7efe6c94aaf7,92.72727272727272
attack-pattern,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,attack-pattern--1c4c3101-4ecd-4b44-8b14-6f64d205ac4f,93.33333333333334
attack-pattern,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,attack-pattern--063585ea-e1a6-45b2-b4ff-498746ebb860,88.70967741935485
attack-pattern,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,attack-pattern--c66768b9-aa5c-4b74-8da6-325ac60e0972,90.28169014084507
attack-pattern,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--1c047d33-36ea-4e9c-b1e2-1efb9efa8c98,100.0
attack-pattern,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,attack-pattern--41ff7f6c-ba9e-4deb-b7fe-297a918f1c7b,100.0
attack-pattern,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,attack-pattern--0533102d-621e-41f8-936f-cc2ddd48a362,100.0
attack-pattern,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,attack-pattern--9ce69f85-f59a-4070-9001-26a2ce968cdd,88.08219178082192
attack-pattern,attack-pattern--599f7d68-84fb-4f15-9e8e-f85d6da34fdd,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,100.0
attack-pattern,attack-pattern--9f2dca65-739a-4bae-b513-e0640c158982,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,56.666666666666664
attack-pattern,attack-pattern--ca11c0bf-53ca-436b-9004-164f7a96f86a,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,87.33333333333333
attack-pattern,attack-pattern--f6a46019-653a-42f3-a080-7efe6c94aaf7,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,92.72727272727272
attack-pattern,attack-pattern--1c4c3101-4ecd-4b44-8b14-6f64d205ac4f,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,93.33333333333334
attack-pattern,attack-pattern--063585ea-e1a6-45b2-b4ff-498746ebb860,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,88.70967741935485
