Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
malware,malware--9807ddb3-eaba-43fa-8bca-09dcec575bb2,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,78.57142857142858
malware,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,malware--9807ddb3-eaba-43fa-8bca-09dcec575bb2,78.57142857142858
malware,malware--4975e742-81a0-4044-9e37-d2704ab43f22,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,33.333333333333336
malware,malware--cb3f0263-7f4c-417e-ae94-109077495ab9,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,26.086956521739136
marking-definition,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,0.0
marking-definition,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,0.0
indicator,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,94.11764705882352
indicator,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,indicator--12d531e3-f9b8-4aea-af4b-5072bd086224,94.11764705882352
indicator,indicator--bd2ff7e3-f817-489d-b859-765069d57ef4,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--82f6c772-948c-475c-93f3-f93620b2f32a,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,indicator--a57694a5-553b-4ed9-a2f0-8f55c666b976,94.11764705882352
indicator,indicator--e69324f4-8c1e-4019-ac8c-54e8062d3706,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--cbe2000c-0e17-40dd-984b-d4e79b5d24ed,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,indicator--d6a48cb6-98b7-456c-963e-e1a10fd1fb87,94.11764705882352
indicator,indicator--569e7c22-d451-4b8b-ab8e-70571e6c7d3b,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--12d735c1-3103-4043-a411-77321b5cacc7,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,94.11764705882352
indicator,indicator--ee5827d7-24ec-42be-861d-e72e72628557,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--0cb3bf10-4113-492e-a558-c3b3bf610c78,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--8608c198-3ea9-420a-ac35-004dd965f843,indicator--70781b5a-b6d8-41eb-aed9-6feaa22b2e7b,0.0
indicator,indicator--50d4ad6f-3469-45cd-8c0a-8c1ecd23950c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--136aa6dc-a961-4f07-aac4-6815b5d49e33,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--cd155815-8f1d-4913-a6aa-6f272a50319f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--099f7b35-d171-4fc5-b957-01b5c19a4f4c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--eaf0957d-965f-471c-9c38-302aa999e9f3,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--83f5d2b2-c5ce-4e7a-9ce2-c4c5bc1c55bf,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8cf129a1-553a-47f2-abed-fb0f194eace2,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--e8117290-a7a4-48b3-84b8-c767c52ef14f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
