Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
malware,malware--e810d324-bbe7-43f0-842c-39d8cf999359,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,78.57142857142858
malware,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,malware--e810d324-bbe7-43f0-842c-39d8cf999359,78.57142857142858
report,report--4225eaa4-f0f1-41ca-91dd-6b5b8795ef35,report--844d28c1-43f7-4da8-99cc-8223912dbe12,64.93119122106116
report,report--844d28c1-43f7-4da8-99cc-8223912dbe12,report--4225eaa4-f0f1-41ca-91dd-6b5b8795ef35,64.93119122106116
relationship,relationship--e5158363-f301-4364-a6cc-621faa2361bd,relationship--700de81b-7ca6-45f5-a161-6e44783d8642,37.647058823529406
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--733720d5-8ce2-43f2-a918-7d458065c369,32.36363636363636
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--733720d5-8ce2-43f2-a918-7d458065c369,82.46305418719213
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--39b4af82-8fe3-40b2-957e-f9bb353a7ecb,40.0
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--39b4af82-8fe3-40b2-957e-f9bb353a7ecb,81.42857142857143
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--0ba1a69a-5dd4-475e-9cd2-0919c8d32466,12.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--0ba1a69a-5dd4-475e-9cd2-0919c8d32466,74.0952380952381
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--ef9ce3b9-6f0f-4511-b057-23f39360e710,34.93333333333333
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--ef9ce3b9-6f0f-4511-b057-23f39360e710,79.87301587301587
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--2a90c09b-281f-423c-87e2-8e0142bb299a,37.09090909090909
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--2a90c09b-281f-423c-87e2-8e0142bb299a,81.7989417989418
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--d856cc06-54ec-4e0f-ac35-f0477e473826,37.333333333333336
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--d856cc06-54ec-4e0f-ac35-f0477e473826,82.30576441102757
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--15dbce80-c1c4-4bb3-8fd6-c50d492eeae2,35.483870967741936
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--15dbce80-c1c4-4bb3-8fd6-c50d492eeae2,84.67532467532467
relationship,relationship--80b68e13-cd3a-40ac-be32-32094eebf84a,relationship--1a4d69c5-f342-401c-be92-e7a12c3bc80d,36.11267605633803
relationship,relationship--b7b341ed-2626-4820-9a0a-c5d4b16cb40b,relationship--1a4d69c5-f342-401c-be92-e7a12c3bc80d,82.76190476190476
relationship,relationship--285985bb-fda4-4cdb-94c9-297febf8c1c1,relationship--f16f4ea0-c2f5-472f-87dd-c09ff90562e8,40.0
relationship,relationship--469e2b9e-5547-4f23-8db3-b90d2f292f0c,relationship--f16f4ea0-c2f5-472f-87dd-c09ff90562e8,74.0952380952381
relationship,relationship--f44b86b5-0677-4234-9753-f53b510a91ad,relationship--f30fca8c-aab0-4042-8b82-62108af0d72d,40.0
relationship,relationship--e45b95c8-9f60-4225-b1bd-f2b09917bf03,relationship--f30fca8c-aab0-4042-8b82-62108af0d72d,77.74436090225564
relationship,relationship--0b8ea51d-377e-4443-99d0-3f76c0a0f14f,relationship--bfaf5323-af6c-4f1f-9f53-c87088f23a93,40.0
