Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
report,report--64c7b434-5e93-461d-bcc0-f25e34b69620,report--844d28c1-43f7-4da8-99cc-8223912dbe12,64.81630705730362
report,report--844d28c1-43f7-4da8-99cc-8223912dbe12,report--64c7b434-5e93-461d-bcc0-f25e34b69620,64.81630705730362
relationship,relationship--0f7914b4-f3d5-45b2-a9b7-eee19f9eea90,relationship--700de81b-7ca6-45f5-a161-6e44783d8642,37.647058823529406
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--0b77832a-c731-4cad-a398-64d6cd098db7,32.36363636363636
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--0b77832a-c731-4cad-a398-64d6cd098db7,82.46305418719213
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--c014b716-6960-48f2-84f6-56c197c35cd2,40.0
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--c014b716-6960-48f2-84f6-56c197c35cd2,81.42857142857143
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--bf185f26-5072-4bd2-a7df-23307b9bf5c8,12.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--bf185f26-5072-4bd2-a7df-23307b9bf5c8,74.0952380952381
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--cd938829-3fac-459e-87fb-aabc0e2f2adb,34.93333333333333
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--cd938829-3fac-459e-87fb-aabc0e2f2adb,79.87301587301587
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--5e9c7062-af48-4fa6-be8b-8adfb4d6208c,37.09090909090909
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--5e9c7062-af48-4fa6-be8b-8adfb4d6208c,81.7989417989418
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--71fdf3c0-bf4e-49f6-8111-eb890deea0d3,37.333333333333336
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--71fdf3c0-bf4e-49f6-8111-eb890deea0d3,82.30576441102757
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--40f9e09d-7add-4c62-9ed9-79c19cfe2ee4,35.483870967741936
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--40f9e09d-7add-4c62-9ed9-79c19cfe2ee4,84.67532467532467
relationship,relationship--80b68e13-cd3a-40ac-be32-32094eebf84a,relationship--3b864796-f86b-4624-90bf-c8ab557b7007,36.11267605633803
relationship,relationship--b7b341ed-2626-4820-9a0a-c5d4b16cb40b,relationship--3b864796-f86b-4624-90bf-c8ab557b7007,82.76190476190476
