Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
malware,malware--1108ecec-b05b-4be5-b30f-3e3a90084805,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,78.57142857142858
malware,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,malware--1108ecec-b05b-4be5-b30f-3e3a90084805,78.57142857142858
malware,malware--c727afb0-a9c1-44ad-aab4-a432117060a3,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,40.86956521739131
identity,identity--52e8d550-febf-4f06-9a84-404b8ce9c792,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,100.0
identity,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,identity--52e8d550-febf-4f06-9a84-404b8ce9c792,100.0
identity,identity--52b6571e-9014-4fba-9689-1957b6a3d874,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,0.0
report,report--72160bd7-ace3-4ed7-8b9d-da4b4f5cec2e,report--844d28c1-43f7-4da8-99cc-8223912dbe12,50.52195739956063
report,report--844d28c1-43f7-4da8-99cc-8223912dbe12,report--72160bd7-ace3-4ed7-8b9d-da4b4f5cec2e,50.52195739956063
marking-definition,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,0.0
marking-definition,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,0.0
indicator,indicator--be99617f-dc65-4026-8416-de0d6adecffd,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,94.11764705882352
indicator,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,indicator--d848cbc4-77d5-4130-84de-02040f5e1099,94.11764705882352
indicator,indicator--bd2ff7e3-f817-489d-b859-765069d57ef4,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--82f6c772-948c-475c-93f3-f93620b2f32a,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,indicator--8c69898b-2386-4b89-9138-e803345d43e1,94.11764705882352
indicator,indicator--e69324f4-8c1e-4019-ac8c-54e8062d3706,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--cbe2000c-0e17-40dd-984b-d4e79b5d24ed,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,indicator--57df3238-7e36-4c9f-87a0-b5e4e100f1ba,94.11764705882352
indicator,indicator--569e7c22-d451-4b8b-ab8e-70571e6c7d3b,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--12d735c1-3103-4043-a411-77321b5cacc7,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,indicator--be99617f-dc65-4026-8416-de0d6adecffd,94.11764705882352
indicator,indicator--ee5827d7-24ec-42be-861d-e72e72628557,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--0cb3bf10-4113-492e-a558-c3b3bf610c78,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--8608c198-3ea9-420a-ac35-004dd965f843,indicator--be99617f-dc65-4026-8416-de0d6adecffd,0.0
indicator,indicator--b7dfe65d-b831-4cfc-988f-827d7270a402,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--a34d2995-0269-4478-88d0-853347d9a219,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--ff1e3e44-e2d7-43c3-8a20-f7978c894327,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--435b2fab-6be3-42cc-b355-f4e0d5f69ab3,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--a66544ac-0b42-4c5b-9c75-0b553717e746,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--283f6345-3ccf-448a-a874-d13eff3bcfbc,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--11fdcdda-c148-4bd2-b24c-60d3c415383e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--bec2149f-0ad3-4223-a0aa-a2efe04875bf,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--785ff1a6-9e8c-4c40-a196-14e58ca4d488,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4a201b20-5482-4a05-9808-154103844775,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--74a8404f-baaf-42e7-8671-f7ad974f5fd7,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--d848cbc4-77d5-4130-84de-02040f5e1099,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,94.11764705882352
indicator,indicator--71901ac5-b107-4187-bb10-e87cb77c6647,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--05112563-c393-4f09-a3df-b413f944c965,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4ccdd6fe-1da3-407e-8428-f08fcde6d8d9,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--beb6b769-c0ae-461d-92b3-5edfb767066a,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--5aff073d-7a5d-426d-a2b5-7698072389d3,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--50a13246-4b1f-41f7-9f9d-e8870baaf82b,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--1b417a7c-3d79-4b94-a364-8f9d951e4e95,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--ca002fae-3083-4bcf-aec4-09c3943d2f4f,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--3d7a5942-c745-4037-8a3e-b0fd60573a96,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--1e2e5eac-29de-41fb-9094-c8b1ba1058bd,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--29bde329-f785-49c0-818a-efb51605cefc,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--57df3238-7e36-4c9f-87a0-b5e4e100f1ba,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,94.11764705882352
indicator,indicator--fa11197d-193c-4aa6-b5e1-72801c1d26f7,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--f63649ce-2d6d-47f1-86b6-17ed2e8d699e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--abecdf95-31ab-419d-9d67-b6120b07282d,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--e07bf574-ffed-4700-85f6-9116ee5b2241,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--0d623d04-8a9c-4a52-9cf2-9ff4b034fdf7,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--33320990-7276-4925-8218-c3c7b5db025e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--463f4d42-d650-425f-aa51-95e858a4bd8c,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8ea38846-2565-4c13-9963-a06ceb70d5fe,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--8c69898b-2386-4b89-9138-e803345d43e1,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,94.11764705882352
indicator,indicator--eb0c5369-e5f9-4d2d-a87a-7fcecaa55288,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--16e1266c-575b-4af3-a58c-ecd1d300a7d3,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--edd016c1-eb26-40f5-bc9a-3982a91f9dc5,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--c8d540a9-fab9-40cd-85a5-59848443b704,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--be2c3de8-0283-47bd-874a-d00b04271686,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--4114b3c1-081b-4861-b837-ec7a65fc6934,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--5d307de2-8867-4349-a06c-fa76afd1953e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--6732c0b3-5b15-4bb0-bd98-faf63e5fb2c2,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
relationship,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,51.42857142857144
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,28.000000000000004
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--a66b5e13-7bcc-4d74-96fa-4388c8c5569f,28.000000000000004
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--80b68e13-cd3a-40ac-be32-32094eebf84a,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--b7b341ed-2626-4820-9a0a-c5d4b16cb40b,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--285985bb-fda4-4cdb-94c9-297febf8c1c1,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--469e2b9e-5547-4f23-8db3-b90d2f292f0c,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--f44b86b5-0677-4234-9753-f53b510a91ad,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--e45b95c8-9f60-4225-b1bd-f2b09917bf03,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--0b8ea51d-377e-4443-99d0-3f76c0a0f14f,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--0061a14f-21e0-41e8-9695-7ae40eee08aa,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--b5ba8bd9-945f-4e8d-b8b8-8d61881fc6cf,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--3f7402e4-1088-4c7a-a11b-4d741fe6a8bd,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,51.42857142857144
relationship,relationship--700de81b-7ca6-45f5-a161-6e44783d8642,relationship--2aad842b-09dd-49c9-9a9b-6b6ff01cd3bb,37.647058823529406
relationship,relationship--82b37beb-79ce-4d6f-af98-c324af87c585,relationship--2aad842b-09dd-49c9-9a9b-6b6ff01cd3bb,37.647058823529406
relationship,relationship--00ae4d18-27cb-435d-aa3c-a956355fcc0c,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--0160c9a2-4cb8-4687-b853-2638a04bc4db,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--20053f82-6024-452c-bdbc-6d43cd778a6d,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--15121a6f-efc8-462a-a1e2-d1f9bebd5677,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--514b3eb2-df86-4c5b-bfab-18037e715313,relationship--e703405a-2820-44d1-a8bb-e5918ea4e4f6,37.647058823529406
relationship,relationship--5d1c6d5c-0fe6-482f-af94-0e3c1a05159d,relationship--e703405a-2820-44d1-a8bb-e5918ea4e4f6,37.647058823529406
relationship,relationship--c2005294-8eef-40b8-8f0d-8911fcbc5dbe,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--620601de-371a-4427-ad8f-cb59af9d56c4,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--78bf68c6-4de9-43fc-9ee3-22f87319390c,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--eacde7c8-23c4-42fd-80a9-22a6a6662f8a,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--f23d4997-6f74-4d94-ae9c-13d6a7424d1d,relationship--9f1d2956-5c47-40d7-ac15-809ebe913fe1,37.647058823529406
relationship,relationship--e5d92b12-17b4-4674-91b5-b0d579cc84e4,relationship--9f1d2956-5c47-40d7-ac15-809ebe913fe1,37.647058823529406
relationship,relationship--41381446-5a55-4f3e-96ad-de827a16f247,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
relationship,relationship--68384cbb-fa78-4b1e-959e-97187eb4b2d5,relationship--bc24ef47-e56a-411d-a145-3a2058fa7279,0.0
