Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
indicator,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,94.11764705882352
indicator,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,indicator--b4bebeaf-9894-41f8-ab52-aec379ceab5a,94.11764705882352
indicator,indicator--bd2ff7e3-f817-489d-b859-765069d57ef4,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--82f6c772-948c-475c-93f3-f93620b2f32a,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,indicator--e7ae9793-8c4d-4456-98fb-6ba76b198633,94.11764705882352
indicator,indicator--e69324f4-8c1e-4019-ac8c-54e8062d3706,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--cbe2000c-0e17-40dd-984b-d4e79b5d24ed,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,indicator--51fcedca-a2ba-4036-8829-37a08169c6da,94.11764705882352
indicator,indicator--569e7c22-d451-4b8b-ab8e-70571e6c7d3b,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--12d735c1-3103-4043-a411-77321b5cacc7,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--36684a9c-5ec2-4d90-b534-337904e92d4c,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,94.11764705882352
indicator,indicator--ee5827d7-24ec-42be-861d-e72e72628557,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--0cb3bf10-4113-492e-a558-c3b3bf610c78,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--8608c198-3ea9-420a-ac35-004dd965f843,indicator--7201ba9d-3478-4cfd-ab56-a25260d5a581,0.0
indicator,indicator--e06d40ee-384d-483c-9a8b-08eb96eb8267,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--45987957-d01f-4fd2-b87f-eb983194c21b,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--3c37fd62-2b4e-479a-9fef-bdb3c3fb775e,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--b4bebeaf-9894-41f8-ab52-aec379ceab5a,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,94.11764705882352
indicator,indicator--66a93453-1f31-4cf0-938b-f4f7308262de,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--76e7d1ba-6d5f-4ffc-bec6-9e857fa2a7ce,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--6275bf76-cceb-497c-8b14-3e33bccd931b,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--51fcedca-a2ba-4036-8829-37a08169c6da,indicator--6fcf2b29-51d6-402f-9804-bf53713dab23,94.11764705882352
indicator,indicator--d27b1c00-ba6a-4571-8922-984b3a46f8f5,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--bd64986a-ec78-41d9-9e98-b7ccc90ac2f0,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--e7ae9793-8c4d-4456-98fb-6ba76b198633,indicator--232ec417-ffb6-4fb7-a172-22b92b72c974,94.11764705882352
indicator,indicator--d18f17a6-9723-4a44-879a-1d2f019e779b,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
indicator,indicator--90eaef22-88a8-474a-9d40-98460a192929,indicator--fb0e6532-3e91-4076-b24a-4eb39cc86919,0.0
malware,malware--4763c219-ee99-47de-b756-044c6ab6e872,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,78.57142857142858
malware,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,malware--4763c219-ee99-47de-b756-044c6ab6e872,78.57142857142858
malware,malware--7387ef05-7886-4fe0-bed9-bf0a342c17a1,malware--5941acb9-7958-4a18-86ac-fa5616d2dfaa,20.869565217391308
attack-pattern,attack-pattern--d72e7df1-7fb9-4134-845c-e3b3b2ad28f9,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,70.0
attack-pattern,attack-pattern--3c48d49c-29a8-44b6-bed6-2c8c3a326dfd,attack-pattern--2b6d260d-6325-491e-974c-3f232c5b23c4,34.074074074074076
attack-pattern,attack-pattern--35ca7caf-bc9b-40ec-8e5f-380a0574163e,attack-pattern--fd3923d1-628a-495e-950b-5aa3bc3b8340,75.0
attack-pattern,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,attack-pattern--96c5f212-778a-47a0-ad87-127933879fec,56.666666666666664
attack-pattern,attack-pattern--5ed6a9ac-e1f7-45e8-bb7d-f889348d8599,attack-pattern--5692bd57-dac5-4677-8ef6-396f045cb6a9,71.11111111111111
attack-pattern,attack-pattern--bf856889-6cf4-4816-aeaa-40d00441638f,attack-pattern--bfa32b4b-56fe-4463-bd6f-354ddc6b3eb8,75.92592592592592
attack-pattern,attack-pattern--45ba4683-2836-4d78-af1d-5ec3ff4ceea8,attack-pattern--b75e60cc-5aa8-4baf-b40e-253e52849467,77.19298245614034
attack-pattern,attack-pattern--b1001fb4-5cd7-41e7-8fdf-dae65622e72e,attack-pattern--2b6d260d-6325-491e-974c-3f232c5b23c4,83.11688311688312
attack-pattern,attack-pattern--a41cefc3-03d7-4815-be0b-87ae8b89d341,attack-pattern--2fbc16bd-b30a-4fa7-9b21-d014dd5372b1,78.33333333333333
attack-pattern,attack-pattern--e2949263-f2c4-4b36-9838-5c67d7e6bced,attack-pattern--e7f35db5-8ca1-44a7-a170-f9d5e56453ca,56.666666666666664
attack-pattern,attack-pattern--baeaf01d-8da1-492c-9eb0-7b1674251125,attack-pattern--3830764b-5043-4380-854e-af8a5f380d23,65.78947368421052
attack-pattern,attack-pattern--cb254de4-c831-496f-9ac8-a0fca31fff98,attack-pattern--7d81262d-71e2-4cc1-9dab-9a167be03986,55.172413793103445
attack-pattern,attack-pattern--bc9df8d6-309d-4a87-b0c5-bdd1ac4fe55f,attack-pattern--0f1658da-4ff6-4d4e-b42d-2b9011ccfce9,76.9230769230769
attack-pattern,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,attack-pattern--d72e7df1-7fb9-4134-845c-e3b3b2ad28f9,70.0
attack-pattern,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,attack-pattern--fd3923d1-628a-495e-950b-5aa3bc3b8340,100.0
attack-pattern,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,attack-pattern--96c5f212-778a-47a0-ad87-127933879fec,30.0
attack-pattern,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,attack-pattern--5692bd57-dac5-4677-8ef6-396f045cb6a9,87.33333333333333
attack-pattern,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,attack-pattern--bfa32b4b-56fe-4463-bd6f-354ddc6b3eb8,92.72727272727272
attack-pattern,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,attack-pattern--b75e60cc-5aa8-4baf-b40e-253e52849467,93.33333333333334
attack-pattern,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,attack-pattern--2b6d260d-6325-491e-974c-3f232c5b23c4,88.70967741935485
attack-pattern,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,attack-pattern--2fbc16bd-b30a-4fa7-9b21-d014dd5372b1,90.28169014084507
attack-pattern,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,attack-pattern--e7f35db5-8ca1-44a7-a170-f9d5e56453ca,100.0
attack-pattern,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,attack-pattern--3830764b-5043-4380-854e-af8a5f380d23,100.0
attack-pattern,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,attack-pattern--7d81262d-71e2-4cc1-9dab-9a167be03986,100.0
attack-pattern,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,attack-pattern--0f1658da-4ff6-4d4e-b42d-2b9011ccfce9,88.08219178082192
attack-pattern,attack-pattern--fd3923d1-628a-495e-950b-5aa3bc3b8340,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,100.0
attack-pattern,attack-pattern--96c5f212-778a-47a0-ad87-127933879fec,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,56.666666666666664
attack-pattern,attack-pattern--5692bd57-dac5-4677-8ef6-396f045cb6a9,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,87.33333333333333
attack-pattern,attack-pattern--bfa32b4b-56fe-4463-bd6f-354ddc6b3eb8,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,92.72727272727272
attack-pattern,attack-pattern--b75e60cc-5aa8-4baf-b40e-253e52849467,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,93.33333333333334
attack-pattern,attack-pattern--2b6d260d-6325-491e-974c-3f232c5b23c4,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,88.70967741935485
attack-pattern,attack-pattern--2fbc16bd-b30a-4fa7-9b21-d014dd5372b1,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,90.28169014084507
attack-pattern,attack-pattern--e7f35db5-8ca1-44a7-a170-f9d5e56453ca,attack-pattern--8f4a33ec-8b1f-4b80-a2f6-642b2e479580,100.0
attack-pattern,attack-pattern--3830764b-5043-4380-854e-af8a5f380d23,attack-pattern--e3a12395-188d-4051-9a16-ea8e14d07b88,100.0
attack-pattern,attack-pattern--7d81262d-71e2-4cc1-9dab-9a167be03986,attack-pattern--3257eb21-f9a7-4430-8de1-d8b6e288f529,100.0
attack-pattern,attack-pattern--0f1658da-4ff6-4d4e-b42d-2b9011ccfce9,attack-pattern--c325b232-d5bc-4dde-a3ec-71f3db9e8adc,88.08219178082192
identity,identity--d425018b-3cfd-44de-b6ce-414050120160,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,100.0
identity,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,identity--d425018b-3cfd-44de-b6ce-414050120160,100.0
identity,identity--25af1126-a32c-4f31-ae85-7f40ef8698cf,identity--a2c0f893-512d-4dff-bd00-4e7c6f78fda4,0.0
relationship,relationship--ee2708b2-c6f0-44aa-8b51-7f3aff379b8b,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,51.42857142857144
relationship,relationship--ac92bd8e-fb55-4c84-a2d3-03d99dbdc72d,relationship--ee2708b2-c6f0-44aa-8b51-7f3aff379b8b,28.000000000000004
relationship,relationship--4a7fb741-55a2-4f63-84a8-11cc120d18bf,relationship--e81f6d6f-c909-457c-a995-a4d49fcaa867,65.05820105820106
relationship,relationship--735661bb-7980-4498-b898-e73b4c867bad,relationship--452f0de7-3d72-48d3-804d-222ee1999739,40.0
relationship,relationship--272ed36d-8fb2-4c76-b03b-dce29feb4185,relationship--452f0de7-3d72-48d3-804d-222ee1999739,81.42857142857143
relationship,relationship--6e131ab9-6516-4a0d-a084-074e7dd1f036,relationship--b78940ae-08e8-48a7-9ce1-8c8f9537d80c,12.0
relationship,relationship--355e17db-3709-42cc-ad6a-f22d4ad91ff7,relationship--b78940ae-08e8-48a7-9ce1-8c8f9537d80c,74.0952380952381
relationship,relationship--160c6e33-a431-44f5-8aad-4b4a9664e590,relationship--ca0be6a1-ae49-4e46-8bc4-c211946603e2,34.93333333333333
relationship,relationship--e419ef43-f996-416c-ab32-c6319dd225dc,relationship--ca0be6a1-ae49-4e46-8bc4-c211946603e2,79.87301587301587
relationship,relationship--b2215ed7-6c1e-46a5-a3bd-a90938b571de,relationship--091b7e2b-4a08-47cc-9bad-6b559027645d,37.09090909090909
relationship,relationship--d39c4406-1f4e-408e-aa25-748885160a13,relationship--091b7e2b-4a08-47cc-9bad-6b559027645d,81.7989417989418
relationship,relationship--de1228ae-d48e-4b14-b603-9bf48b453f18,relationship--f97af28b-1001-4fea-8b82-90a736e621a9,37.333333333333336
relationship,relationship--a40c1a80-48c4-4d8d-a631-8e4e7b1b44d2,relationship--f97af28b-1001-4fea-8b82-90a736e621a9,82.30576441102757
relationship,relationship--0fbb259b-7a0b-4d0f-a61e-cf1c79a75c3a,relationship--e81f6d6f-c909-457c-a995-a4d49fcaa867,35.483870967741936
relationship,relationship--010acad3-8a8a-4fdb-b88d-a27d65cabc0c,relationship--e81f6d6f-c909-457c-a995-a4d49fcaa867,84.67532467532467
