Type Object,Object ID (Generated),Object ID (Ground Truth),Match Score (%)
marking-definition,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,0.0
marking-definition,marking-definition--94868c89-83c2-464b-929b-a1a8aa3c8487,marking-definition--613f2e26-407d-48c7-9eca-b8e91df99dc9,0.0
attack-pattern,attack-pattern--e47f4e95-ffd6-4967-ab9d-0bca0aa3c1b6,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,70.0
attack-pattern,attack-pattern--3c48d49c-29a8-44b6-bed6-2c8c3a326dfd,attack-pattern--0609b524-db52-4635-a386-a88f0749ffa5,34.074074074074076
attack-pattern,attack-pattern--35ca7caf-bc9b-40ec-8e5f-380a0574163e,attack-pattern--3e6bd50e-7498-430d-97e0-27ddc676cea5,75.0
attack-pattern,attack-pattern--881f247f-3f89-4b48-bb47-0f72a6b9817a,attack-pattern--4616776a-b97a-4454-8079-720a87eb5f02,56.666666666666664
attack-pattern,attack-pattern--5ed6a9ac-e1f7-45e8-bb7d-f889348d8599,attack-pattern--16d7492f-84b6-492a-b4b3-44dd06719bc3,71.11111111111111
attack-pattern,attack-pattern--bf856889-6cf4-4816-aeaa-40d00441638f,attack-pattern--3a91bdd2-050c-4d91-879f-82443c2f980e,75.92592592592592
attack-pattern,attack-pattern--45ba4683-2836-4d78-af1d-5ec3ff4ceea8,attack-pattern--8535e873-8ce5-46de-8b4e-9afbd653b5b3,77.19298245614034
attack-pattern,attack-pattern--b1001fb4-5cd7-41e7-8fdf-dae65622e72e,attack-pattern--0609b524-db52-4635-a386-a88f0749ffa5,83.11688311688312
attack-pattern,attack-pattern--a41cefc3-03d7-4815-be0b-87ae8b89d341,attack-pattern--8d1204dc-1456-4dd4-875c-f52480fce9d8,78.33333333333333
attack-pattern,attack-pattern--e2949263-f2c4-4b36-9838-5c67d7e6bced,attack-pattern--28ea7aec-a9c9-4cf6-916a-7d185670cb56,56.666666666666664
attack-pattern,attack-pattern--baeaf01d-8da1-492c-9eb0-7b1674251125,attack-pattern--ef69f4e1-dd7b-4d69-92fb-ec8e10b4868b,65.78947368421052
attack-pattern,attack-pattern--cb254de4-c831-496f-9ac8-a0fca31fff98,attack-pattern--7cb95745-d0bb-4c8b-951c-823a8732538e,55.172413793103445
attack-pattern,attack-pattern--bc9df8d6-309d-4a87-b0c5-bdd1ac4fe55f,attack-pattern--44a9d118-0619-4fe6-835d-8afbf61bdc71,76.9230769230769
attack-pattern,attack-pattern--a9d4b653-6915-42af-98b2-5758c4ceee56,attack-pattern--e47f4e95-ffd6-4967-ab9d-0bca0aa3c1b6,70.0
attack-pattern,attack-pattern--3ccef7ae-cb5e-48f6-8302-897105fbf55c,attack-pattern--3e6bd50e-7498-430d-97e0-27ddc676cea5,100.0
attack-pattern,attack-pattern--43e7dc91-05b2-474c-b9ac-2ed4fe101f4d,attack-pattern--4616776a-b97a-4454-8079-720a87eb5f02,30.0
attack-pattern,attack-pattern--d63a3fb8-9452-4e9d-a60a-54be68d5998c,attack-pattern--16d7492f-84b6-492a-b4b3-44dd06719bc3,87.33333333333333
attack-pattern,attack-pattern--ffe59ad3-ad9b-4b9f-b74f-5beb3c309dc1,attack-pattern--3a91bdd2-050c-4d91-879f-82443c2f980e,92.72727272727272
attack-pattern,attack-pattern--ec8fc7e2-b356-455c-8db5-2e37be158e7d,attack-pattern--8535e873-8ce5-46de-8b4e-9afbd653b5b3,93.33333333333334
attack-pattern,attack-pattern--a1b52199-c8c5-438a-9ded-656f1d0888c6,attack-pattern--0609b524-db52-4635-a386-a88f0749ffa5,88.70967741935485
attack-pattern,attack-pattern--633a100c-b2c9-41bf-9be5-905c1b16c825,attack-pattern--8d1204dc-1456-4dd4-875c-f52480fce9d8,90.28169014084507
