,Precision,Recall,F1-Score,Support
identity,0.3902439024390244,1.0,0.5614035087719299,16
indicator,0.4301242236024845,0.4496753246753247,0.43968253968253973,616
attack-pattern,0.6832298136645962,0.3374233128834356,0.4517453798767967,326
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.1724137931034483,0.3125,0.22222222222222224,16
relationship,0.05348988910632746,0.026098026734563972,0.035080213903743315,3142
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
