,Precision,Recall,F1-Score,Support
identity,0.3404255319148936,1.0,0.5079365079365079,16
indicator,0.42572741194486985,0.4512987012987013,0.438140267927502,616
attack-pattern,0.691358024691358,0.34355828220858897,0.45901639344262296,326
relationship,0.05116959064327485,0.022278803309993635,0.031042128603104208,3142
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.15151515151515152,0.3125,0.20408163265306123,16
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
