,Precision,Recall,F1-Score,Support
identity,0.25,0.9375,0.39473684210526316,16
indicator,0.4431818181818182,0.4658703071672355,0.454242928452579,586
attack-pattern,0.937888198757764,0.4674922600619195,0.6239669421487604,323
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.09090909090909091,0.125,0.10526315789473685,16
relationship,0.007936507936507936,0.006756756756756757,0.0072992700729927005,2960
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
