,Precision,Recall,F1-Score,Support
identity,0.2777777777777778,0.8823529411764706,0.42253521126760574,17
indicator,0.43894899536321486,0.4551282051282051,0.4468922108575925,624
attack-pattern,0.7732558139534884,0.382183908045977,0.5115384615384616,348
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.11538461538461539,0.17647058823529413,0.13953488372093026,17
relationship,0.01590997283663174,0.012925598991172762,0.0142633501478518,3172
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
