,Precision,Recall,F1-Score,Support
identity,0.34,1.0,0.5074626865671642,17
indicator,0.45454545454545453,0.46474358974358976,0.45958795562599053,624
attack-pattern,0.9418604651162791,0.46551724137931033,0.6230769230769231,348
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.06666666666666667,0.11764705882352941,0.0851063829787234,17
relationship,0.007243752263672582,0.006305170239596469,0.006741951795044665,3172
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
