,Precision,Recall,F1-Score,Support
identity,0.34615384615384615,1.0,0.5142857142857142,18
indicator,0.4424778761061947,0.46511627906976744,0.45351473922902497,645
attack-pattern,0.9378531073446328,0.46629213483146065,0.6228893058161351,356
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.06060606060606061,0.1111111111111111,0.0784313725490196,18
relationship,0.0071301247771836,0.0061614294516327784,0.006610477607007105,3246
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
