,Precision,Recall,F1-Score,Support
identity,0.42857142857142855,1.0,0.6,15
indicator,0.4297872340425532,0.3482758620689655,0.3847619047619048,580
ipv4-addr,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
malware,0.15,0.2,0.17142857142857143,15
attack-pattern,0.06976744186046512,0.03237410071942446,0.044226044226044224,278
relationship,0.027300303336703743,0.009211873080859774,0.013775510204081633,2931
domain-name,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
