bundle,Precision,Recall,F1-Score
bundle_001,0.06766917293233082,0.06428571428571428,0.06593406593406592
bundle_003,0.25,0.1509433962264151,0.18823529411764706
bundle_004,0.08333333333333333,0.020689655172413793,0.03314917127071823
bundle_005,0.22085889570552147,0.11356466876971609,0.15
bundle_007,0.08666666666666667,0.07428571428571429,0.08
bundle_010,0.23655913978494625,0.1286549707602339,0.16666666666666669
bundle_011,0.19889502762430938,0.10285714285714286,0.13559322033898305
bundle_013,0.18681318681318682,0.061371841155234655,0.0923913043478261
bundle_014,0.3333333333333333,0.16058394160583941,0.21674876847290642
bundle_015,0.05952380952380952,0.023696682464454975,0.03389830508474576
bundle_016,0.22077922077922077,0.017580144777662874,0.032567049808429116
bundle_017,0.16091954022988506,0.08641975308641975,0.11244979919678715
bundle_018,0.1935483870967742,0.11428571428571428,0.14371257485029942
bundle_019,0.3010752688172043,0.12962962962962962,0.18122977346278318
bundle_020,0.06756756756756757,0.03205128205128205,0.043478260869565216
