,Precision,Recall,F1-Score,Support
identity,0.39473684210526316,1.0,0.5660377358490566,15
indicator,0.43914081145584727,0.32974910394265233,0.37666325486182195,558
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
malware,0.1111111111111111,0.13333333333333333,0.1212121212121212,15
attack-pattern,0.2421875,0.11071428571428571,0.15196078431372548,280
relationship,0.03276353276353276,0.008312251535959523,0.013260305563562988,2767
domain-name,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
