,Precision,Recall,F1-Score,Support
identity,0.48148148148148145,1.0,0.65,13
indicator,0.5,0.46774193548387094,0.4833333333333333,372
attack-pattern,0.5583333333333333,0.27235772357723576,0.36612021857923494,246
ipv4-addr,0.0,0.0,0.0,0
directory,0.0,0.0,0.0,0
malware,0.1875,0.23076923076923078,0.20689655172413793,13
relationship,0.0441400304414003,0.015433741351782864,0.02287066246056782,1879
domain-name,0.0,0.0,0.0,0
url,0.0,0.0,0.0,0
windows-registry-key,0.0,0.0,0.0,0
threat-actor,0.0,0.0,0.0,0
vulnerability,0.0,0.0,0.0,0
mutex,0.0,0.0,0.0,0
